Job Title,Company Name,Classification,Job Type,Location,Job Highlights,Job Description,Salary,Posting Date,Reference
Data Engineer,Teachers Mutual Bank,Database Development & Administration,Contract/Temp job,Homebush,"['Develop and maintain data warehouse and analytics solutions.', 'Work closely with business analysts and internal clients.', 'Create and troubleshoot ETL processes and data models.']",Join TMBL as a Data Engineer on a 6-month contract and support the team by delivering successfully a critical project.,Base Salary + Super + RDO,1d ago,https://www.seek.com.au/job/80852535?type=standout&ref=search-standalone
Technology Consulting Practitioner - Oracle HCM Cloud,Accenture,Developers/Programmers,Full time job,Sydney NSW,"['18 weeks paid parental leave', 'Long & short-term career break opportunities', 'Local and international career opportunities.']",Interacts with senior management at a client and/or within Accenture on matters where they may need to gain acceptance on an alternate approach.,Not Provided,1d ago,https://www.seek.com.au/job/80852448?type=standout&ref=search-standalone
"Operations Manager, Macquarie University College",Macquarie University,Management - Universities,Contract/Temp job,North Ryde,"[""Salary Package: From $119,056 p.a (HEW 8) plus 17% employer's superannuation"", 'Appointment Type: Full-Time (35 hours per week), mat leave cover for 12 months', 'Location: Macquarie University, Wallumattagal Campus (North Ryde)']","Operations Manager, Macquarie University College","$119,056 per annum (HEW 8) plus 17% employer Super",1d ago,https://www.seek.com.au/job/80851971?type=standout&ref=search-standalone
Economic Attraction Lead,Public Sector People,Government - Local,Full time job,Sydney NSW,[],Public Sector People are excited to be partnering with a Local Council in Sydney to recruit for a Economic Attraction Lead.,"$112,849 to $130,626 per annum, plus 11.5% super",1d ago,https://www.seek.com.au/job/80851931?type=standard&ref=search-standalone
Senior Consultant,Deloitte,Management & Change Consulting,Full time job,Sydney NSW,[],You'll have the opportunity to transform HR functions across all industries,Not Provided,1d ago,https://www.seek.com.au/job/80851669?type=standout&ref=search-standalone
Delivery Specialist,Shark Ninja,Analysis & Reporting,Full time job,Sydney NSW,"['2022 Best Places to Work in Boston', '2022 100 Best Large Companies to Work For']",Delivery Specialist,Not Provided,1d ago,https://www.seek.com.au/job/80851625?type=standout&ref=search-standalone
"Associate Director, Careers & Employability",Western Sydney University,Management - Universities,Full time job,Penrith,"['Inspire Graduate Success: Lead Innovation in Employability at Western', 'Senior Remuneration Package', 'Full-Time, Ongoing Position, Penrith Campus']","Lead careers and employability programs at WSU, shaping student success through innovation, partnerships, and strategic leadership.",Not Provided,1d ago,https://www.seek.com.au/job/80851440?type=standout&ref=search-standalone
D365 Technical Consultant- CRM and Power Platform Specialist,PERSOLKELLY,Consultants,Full time job,Sydney NSW,"['Attractive remuneration', 'Competitive bonus structure', 'Professional development opportunities']","Join a leading financial services company as D365 Technical Consultant, delivering innovative solutions with hybrid work and attractive remuneration.","$140,000 – $150,000 plus super + incentive",1d ago,https://www.seek.com.au/job/80851245?type=standout&ref=search-standalone
Senior Product Manager - Customer Data,SustainRecruit,Product Management & Development,Contract/Temp job,Sydney NSW,"['Customer Data and Adobe CDP Focused', '$1100- $1200 per day  | 12 month contract', 'Join a high-performing Digital team']",Work with this leading insurer in Australia defining  their next generation of CDP initiatives for their Digital portfolio.,$1100-$1200 per day,1d ago,https://www.seek.com.au/job/80851114?type=standout&ref=search-standalone
Tax Analyst,Custom Fleet,Taxation,Full time job,Sydney NSW,[],We're looking for a detail-oriented and proactive Tax Analyst to join our dynamic team!,"$90,000 – $100,000 per year + Bonus + Super",1d ago,https://www.seek.com.au/job/80851046?type=standard&ref=search-standalone
Product Marketing Manager,ITW Construction Asia Pacific,Product Management & Development,Full time job,Ingleburn,"['Shape the brand of a respected, industry-leading organisation in a pivotal role', 'Mange a high-performing team and showcase your Marketing leadership abilities', 'Amazing Opportunity | Hybrid Work Arrangement | Ingleburn Location']",Are you Entreprenurial? Are you a natural leader? Do you want to work for an innovative Global leader?  Come and join the ITW Construction team....,Not Provided,1d ago,https://www.seek.com.au/job/80850999?type=standout&ref=search-standalone
Supply Chain Specialist,Miltenyi Biotec,"Purchasing, Procurement & Inventory",Full time job,Macquarie Park,[],"As a Supply Chain Specialist, ensure seamless logistics, manage stock processes, and drive innovation and improvements across operations.",Not Provided,1d ago,https://www.seek.com.au/job/80849032?type=standard&ref=search-standalone
SEO Specialist (Min 3+ days per week),Withstand Lawyers,Digital & Search Marketing,Full time job,Parramatta,"['Work remotely at your own time', 'Work with knowledable support', 'Top pay plus high bonus structure']",We have an opening for a SEO enthusiast to work on their own time for our firm. Please include examples with your application. No agencies please.,$67 – $100 per hour + annual bonus,1d ago,https://www.seek.com.au/job/80850433?type=standout&ref=search-standalone
Marketing & Communications Coordinator,St Luke's Grammar School,Marketing Communications,Full time job,Dee Why,[],English Teacher OR English / Drama Teacher,Not Provided,1d ago,https://www.seek.com.au/job/80850422?type=standard&ref=search-standalone
Health and Safety Coordinator,Quickstep Technologies,"Health, Safety & Environment",Full time job,Bankstown,"['We exist to do great things in Aerospace globally.', 'Employer of Choice with a variety of benefits for our employees', 'Join an ASX listed organisation that is creative, agile & backs their people.']",Passionate about safety? Join us as a H&S Coordinator and lead the way in driving zero-harm initiatives and fostering a strong safety culture!,Not Provided,1d ago,https://www.seek.com.au/job/80850361?type=standout&ref=search-standalone
APAC Digital and E-Commerce Manager,Rhino-Rack Australia Pty Limited,Digital & Search Marketing,Full time job,Eastern Creek,"['Competitive Salary & Bonus Structure', 'Hybrid Working Arrangements', 'Opportunity to work with a well-known brand in the industry']",Are you ready to take on your next Adventure? We are seeking an APAC Digital and Ecommerce Manager to join our team at Rhino Rack.,Not Provided,1d ago,https://www.seek.com.au/job/80850323?type=standout&ref=search-standalone
Senior Financial Analyst,Bluefin Resources Pty Limited,Analysis & Reporting,Contract/Temp job,Sydney NSW,[],Financial modelling and investment research large Tech Companies,AUD 65 - 75 per hour,1d ago,https://www.seek.com.au/job/80850105?type=standard&ref=search-standalone
CAD/BIM Specialist,University of New South Wales,Architecture,Full time job,Kensington,[],Support the Estate Management team in the maintenance of architectural drawings and improvement of graphical standards.,Not Provided,1d ago,https://www.seek.com.au/job/80849896?type=standout&ref=search-standalone
Recruitment Consultant,Ethos BeathChapman,Recruitment - Agency,Full time job,Sydney NSW,[],....,AUD 0 - 80000 per annum,1d ago,https://www.seek.com.au/job/80849505?type=standard&ref=search-standalone
Marketing Coordinator,eSafety Supplies,Marketing Assistants/Coordinators,Full time job,Wetherill Park,"['Full Time Position', 'Great Career Progression', 'Friendly Team & Generous Incentives']","Join our fast growing company that has great career progression, friendly team & generous incentives, Why wouldn't you want to be part of our success?","$75,000 – $85,000 per year",1d ago,https://www.seek.com.au/job/80849389?type=standout&ref=search-standalone
Financial Analyst,FourQuarters Recruitment,Analysis & Reporting,Contract/Temp job,Sydney NSW,[],Global FMCG business in Macquarie Park looking for an experienced Finance Analyst with strong business partnering skills,Not Provided,1d ago,https://www.seek.com.au/job/80849269?type=standard&ref=search-standalone
E-Commerce Marketing Coordinator,People2people - Managed Services,Other,Full time job,Homebush,[],Sydney Olympic Park | Perks & Benefits | Onsite Parking,Competitive,1d ago,https://www.seek.com.au/job/80849178?type=standard&ref=search-standalone
IT Business & Systems Analyst,Small Animal Specialist Hospital,Business/Systems Analysts,Full time job,North Ryde,"['On site parking', 'Supportive culture', 'The chance to take on diverse IT projects']",We are seeking a skilled IT Business & Systems Analyst to join our dynamic team,Not Provided,1d ago,https://www.seek.com.au/job/80849169?type=standout&ref=search-standalone
E-Commerce Sales Specialist,People2people - Managed Services,Other,Full time job,Homebush,[],Sydney Olympic Park | Perks & Benefits | Onsite Parking,Competitive,1d ago,https://www.seek.com.au/job/80849155?type=standard&ref=search-standalone
Cash and Trade Processing Analyst 2 - SYDNEY,Citi,Banking - Corporate & Institutional,Full time job,Sydney NSW,[],We are currently looking for a high caliber professional to join our team as Cash and Trade Proc Analyst 1(Internal Job Title: Cash and Trade Proc ...,Not Provided,1d ago,https://www.seek.com.au/job/80849161?type=standard&ref=search-standalone
Storage Administrator - L2,Cognizant Technology Solutions Australia Pty Ltd,Help Desk & IT Support,Full time job,Sydney NSW,[],"Cognizant is seeking a L2 Storage Administrator who can set up, configure and manage storage systems.
In your first few weeks in this role, you can...",Not Provided,1d ago,https://www.seek.com.au/job/80849156?type=standard&ref=search-standalone
Database Administrator,Cognizant Technology Solutions Australia Pty Ltd,Developers/Programmers,Full time job,Sydney NSW,[],"Set up and maintain monitoring solutions to ensure the health and performance of database systems.
Plan and execute database upgrades and patches t...",Not Provided,1d ago,https://www.seek.com.au/job/80849140?type=standard&ref=search-standalone
Data Lead - Print,Canva,Management,Full time job,Sydney NSW,[],"The Print Group is a growing, dynamic part of Canva, focused on making print easier, smarter, and more enjoyable for our users. It is a vastly diff...",Not Provided,1d ago,https://www.seek.com.au/job/80849126?type=standard&ref=search-standalone
Quantitative Systematic Trader- Experienced Hire,Susquehanna Pacific Pty Ltd,Developers/Programmers,Full time job,Sydney NSW,[],"Our Quantitative Systematic Traders connect ideas between trading, quantitative research, and technology to improve how trading decisions are made....",Not Provided,1d ago,https://www.seek.com.au/job/80847760?type=standard&ref=search-standalone
Quantitative Researcher – Honours and Master's,Susquehanna Pacific Pty Ltd,"Mathematics, Statistics & Information Sciences",Full time job,Sydney NSW,[],We’re looking for accomplished researchers who are interested in growing their career in the field of quantitative finance. While the problems we s...,Not Provided,1d ago,https://www.seek.com.au/job/80847792?type=standard&ref=search-standalone
Quantitative Researcher - Experienced Hire,Susquehanna Pacific Pty Ltd,Stockbroking & Trading,Full time job,Sydney NSW,[],We don’t expect you to have prior industry experience in proprietary trading or financial services to succeed at Susquehanna International Group. W...,Not Provided,1d ago,https://www.seek.com.au/job/80847758?type=standard&ref=search-standalone
Quantitative Systematic Trader - Honours and Master’s,Susquehanna Pacific Pty Ltd,Stockbroking & Trading,Full time job,Sydney NSW,[],"As a Quantitative Systematic Trader, you will investigate that idea by immersing yourself in market data, leveraging tools in mathematics, statisti...",Not Provided,1d ago,https://www.seek.com.au/job/80847717?type=standard&ref=search-standalone
Electrical Engineer,Arup Australia Pty Ltd,Administrative Assistants,Full time job,Sydney NSW,[],Are you ready to contribute to the development of innovative and sustainable electrical solutions? Arup invites you to join as an Electrical Engine...,Not Provided,1d ago,https://www.seek.com.au/job/80847696?type=standard&ref=search-standalone
Assistant Store Manager - Bass Hill,Bay Audio Pty Ltd,Management - Department/Assistant,Full time job,Bass Hill,"['Leading retail hearing health provider!', 'Full time opportunity', 'Local position in Bass Hill']",Join Australia's leading retail hearing health provider!,"$57,000+Super",1d ago,https://www.seek.com.au/job/80842945?type=standout&ref=search-standalone
DevOps and Environment Delivery lead - Core Banking,ING,Programme & Project Management,Full time job,Sydney NSW,[],"We're seeking a highly skilled Delivery lead, to oversee the planning, execution, and delivery of our Environments and CI/CD Pipelines related func...",Not Provided,1d ago,https://www.seek.com.au/job/80844502?type=standard&ref=search-standalone
"Software Engineer II, Data",Cover Genius,Engineering - Software,Full time job,Sydney NSW,[],"As a Software Engineer II in the BrightWrite/Data team, you will leverage your intermediate-level expertise to contribute to innovations focused on...",Not Provided,1d ago,https://www.seek.com.au/job/80844449?type=standard&ref=search-standalone
"Supply Chain Project Manager, Global Supply Chain Planning",ResMed,Management,Full time job,Sydney NSW,[],"The Global Supply Chain Planning team at ResMed drives business value by managing an end-to-end, digitally savvy, and data-driven supply chain. Thi...",Not Provided,1d ago,https://www.seek.com.au/job/80869236?type=standard&ref=search-standalone
"Executive Manager, Growth (Corporate Strategy)",Quantium,Strategy & Planning,Full time job,Sydney NSW,[],"Drawing on your strategic thinking, analytical problem-solving abilities, stakeholder management, business development skills, and communication ex...",Not Provided,1d ago,https://www.seek.com.au/job/80844395?type=standard&ref=search-standalone
Cyber Security Analyst,Avant Mutual Group,Security,Contract/Temp job,Sydney NSW,[],This 12 month fixed term contract role is key in supporting the Information Security Lead in delivering the Information Security Strategy and monit...,Not Provided,1d ago,https://www.seek.com.au/job/80844430?type=standard&ref=search-standalone
"Lead, SMC Revenue Growth",Snap Inc.,Management,Full time job,Sydney NSW,[],"We are looking for a Lead, Revenue Growth to join Snap Inc’s global Small and Medium Customers (SMC) organization. This role will lead and launch h...",Not Provided,1d ago,https://www.seek.com.au/job/80849114?type=standard&ref=search-standalone
Salesforce Functional Lead,Talenza,Consultants,Full time job,Sydney NSW,"['Immediate start with quick interview process', 'Public Sector Solution experience required', 'Salary $145,000-$160,000 + Insurance coverage']","Salesforce Functional Lead to join a leading partner that specialises in PSS, Health and Omnistudios. They have 3 CTA's in-house !",$145k - $160k p.a. +  Health insurance coverage,1d ago,https://www.seek.com.au/job/80834769?type=standout&ref=search-standalone
Sales Admin,Unichi Wellness Pty Ltd,Sales Coordinators,Full time job,Barangaroo,[],You will gain both sales skills and business insights from both domestic and international market.,"$60,000 – $80,000 per year",1d ago,https://www.seek.com.au/job/80834719?type=standout&ref=search-standalone
Senior Database Administrator | RDBS,Macquarie Group Limited,Database Development & Administration,Full time job,Sydney NSW,[],"As a Senior Database Administrator, you will be responsible for delivering solutions and support for Macquarie’s evolving database environment as p...",Not Provided,1d ago,https://www.seek.com.au/job/80838633?type=standard&ref=search-standalone
Head of Digital Marketing Transformation,University of New South Wales,Management,Full time job,Kensington,[],"The Head of FS Digital Marketing Transformation will lead the optimisation of UNSW’s mar-tech stack, driving strategies to enhance digital experiences",Not Provided,1d ago,https://www.seek.com.au/job/80834227?type=standard&ref=search-standalone
Planning & Engineering Analyst - Fleet,FedEx,Maintenance,Full time job,Mascot,"['Deliver service and operations excellence', 'Increase revenue and enhance customer experience', 'Achieve productivity and service goals.']","Develop and implement operational plans and programs and assist in fleet planning, system reporting, or fleet development and planning projects",Competitive salary + bonus scheme,1d ago,https://www.seek.com.au/job/80834103?type=standout&ref=search-standalone
"Associate Hydrogeologist, Water Resources",Jacobs Group (Australia) Pty Ltd,"Environmental, Earth & Geosciences",Full time job,Sydney NSW,[],Associate Hydrogeologist needed to deliver a strong pipeline of work on projects from natural resource management to major infrastructure projects.,Not Provided,1d ago,https://www.seek.com.au/job/80832946?type=standard&ref=search-standalone
Data Analyst - Maternity Leave Cover,Australian Schools Plus,Business/Systems Analysts,Part time job,Sydney NSW,"['Hybrid, part time, flexible working arrangements', 'Additional time off offered for wellbeing and birthdays', 'Kickstart 2025 in a new meaningful role']","Use your data analysis and evaluation skills to drive evidence of impact, inform decisions & support our mission to enhance educational opportunities",Not Provided,1d ago,https://www.seek.com.au/job/80829687?type=standout&ref=search-standalone
Senior UI/UX Developer,Iris by Argon & Co,Consultants,Part time job,St Leonards,"['Opportunity to shape the future of AI interfaces', 'Part time role (2 days a week moving to full time)', 'Flexible work | Collaborative environment | Flexible leave policies']","We're seeking a visionary Senior UI/UX Developer to transform complex AI capabilities into beautiful, intuitive experiences that users love.",Not Provided,1d ago,https://www.seek.com.au/job/80829406?type=standout&ref=search-standalone
Director Performance Reporting and Analysis,Sims Group Limited,Analysis & Reporting,Full time job,Mascot,"[""The most sustainable corporation in 2024 Corporate Knights' Global 100 index."", 'Enjoy various benefits including flexible work, novated lease, BUPA discounts.', 'Join an organisation committed to diversity, equity and inclusion.']","Drive financial performance with insights, reporting, and strategic support, collaborating across teams to innovate and optimise FP&A.",Not Provided,1d ago,https://www.seek.com.au/job/80829253?type=standout&ref=search-standalone
Property Investment Strategist,Agenzia Pty Ltd,Retail & Property Development,Full time job,Wetherill Park,[],"Join Agenzia as a Property Investment Strategist, crafting wealth-building strategies with unlimited qualified clients and 25+ years of expertise.","$80,000 – $120,000 per year",1d ago,https://www.seek.com.au/job/80826660?type=standard&ref=search-standalone
Senior Business Analyst,The Network,Business/Systems Analysts,Contract/Temp job,Sydney NSW,[],An opportunity to reshape healthcare delivery through strategic technological and process innovation,AUD 900 per day,1d ago,https://www.seek.com.au/job/80828304?type=standard&ref=search-standalone
Internal Communications Specialist,BWS,Internal Communications,Contract/Temp job,Sydney NSW,"['A great opportunity to take the next step in your internal comms career!', '10 Month Fixed Term opportunity', ""Join one of Australia's leading liquor retail brands!""]",Be responsible for engaging our in store teams through the creation of 'unboring' content and comms for BWS!,Not Provided,1d ago,https://www.seek.com.au/job/80827989?type=standout&ref=search-standalone
Product Owner (eCommerce),Harvey Norman,Product Management & Development,Full time job,Homebush West,"['Access to Udemy an online training platform with over 5,500 courses', 'Based at Homebush West, free on-site parking or a 10 minute walk from Flemington', 'Experience working within a diverse, unique, and successful global organisation']",Build scalable eCommerce platforms and define digital features.,Not Provided,1d ago,https://www.seek.com.au/job/80827965?type=standout&ref=search-standalone
IT Business Partner,ISS Facility Services,Business/Systems Analysts,Full time job,Macquarie Park,"['Application and Solution Design across CRM, BI digital/mobile & integration tech', 'Systems or business project delivery experience in a lead capacity required', 'Sydney, Melbourne or Brisbane applicants welcome']","Identify, design and deliver technology solutions to enable ISS to meet the needs of their clients and contracted obligations.",Competitive salary on offer,1d ago,https://www.seek.com.au/job/80827756?type=standout&ref=search-standalone
Senior Property Analyst,Perigon Group Pty Limited,Analysts,Full time job,Sydney NSW,"['Circa $165-185k package (inc bonus)', 'Seeking previous property/investment or valuations experience', 'Office, commercial, retail, industrial, hotel assets']","Working closely with property teams you'll look after day-to-day analysis of the Group's investment assets and development pipeline, including managem",Circa $160-185k package (inc bonus),1d ago,https://www.seek.com.au/job/80827733?type=standout&ref=search-standalone
"Financial Accountant | Consumer Goods | $120,000",ThompsonCook | We Only Do Accounting,Financial Accounting & Reporting,Full time job,North Sydney,[],An excellent opportunity to join a leading consumer goods business in a broad and dynamic role.,"$100,000 - $130,000",1d ago,https://www.seek.com.au/job/80827648?type=standard&ref=search-standalone
"Commercial Analyst | FMCG, Private Equity | $130,000",ThompsonCook | We Only Do Accounting,Strategy & Planning,Full time job,North Sydney,[],An excellent opportunity to join a Private Equity backed FMCG business based in North Sydney.,"$120,000 - $130,000",1d ago,https://www.seek.com.au/job/80827543?type=standard&ref=search-standalone
Head of Data,Troocoo,Management,Full time job,Parramatta,"['Design, develop and execute the strategy to establish a greenfield data function', 'Build a high calibre team of data specialists', 'Partner with the C-Suite leadership team']","Design, lead and execute the strategy for the development of a greenfield data function",Not Provided,1d ago,https://www.seek.com.au/job/80827513?type=standout&ref=search-standalone
Configuration Specialist,InvoCare Australia Pty Limited,Database Development & Administration,Contract/Temp job,Rhodes,[],"We're looking for a Configuration Specialist to configure, manage and test the Award Interpreter as part of InvoCare's HumanForce implementation.",Not Provided,1d ago,https://www.seek.com.au/job/80827484?type=standout&ref=search-standalone
Content and Planning Researcher,ABC,Other,Contract/Temp job,Ultimo,"['Contract - 12 months', 'Ultimo Location', 'Provide high level administrative support to senior leaders']","Provide high-level administration, research and communication support to both the Head Content Strategy and Planning and the Chief Content Officer.",Not Provided,1d ago,https://www.seek.com.au/job/80827456?type=standout&ref=search-standalone
Business Intelligence Analyst,Kalgin Global Logistics,Business/Systems Analysts,Full time job,Matraville,[],Seeking an enthusiastic individual to continue their career in Data Analytics,"$75,000 – $85,000 per year",1d ago,https://www.seek.com.au/job/80827432?type=standard&ref=search-standalone
Demand Planner,iNova Pharmaceuticals,"Production, Planning & Scheduling",Full time job,Chatswood,"['Real flexibility including hybrid and flexible working', '4 days additional leave', 'A thriving rewards and recognition program']",iNova’s vision is to improve people’s health everyday with our trusted brands. Join us in our pursuit of healthy living!,Not Provided,1d ago,https://www.seek.com.au/job/80827326?type=standout&ref=search-standalone
Inventory Planner,Parker Hannifin Australia Pty Limited,"Purchasing, Procurement & Inventory",Full time job,Castle Hill,"['Global Fortune 250 Company', 'Internal local and global promotion opportunities to move your career forward', 'Continuous support and training']","Optimize inventory for leading global engineering firm. Excellent benefits, development opportunities.",Not Provided,1d ago,https://www.seek.com.au/job/80826976?type=standout&ref=search-standalone
Human Resources Cadet,Sutherland Shire Council,Consulting & Generalist HR,Full time job,Sutherland,"['Gain hands-on experience in human resources while pursuing your academic goals', 'Opportunities for professional development and career advancement await you', 'Be part of a community-focused organisation that values inclusion and diversity']",Join Sutherland Council if you're currently studying in your final or penultimate year in HR,Not Provided,1d ago,https://www.seek.com.au/job/80827045?type=standout&ref=search-standalone
Collibra Developer,Billigence,Developers/Programmers,Contract/Temp job,Sydney NSW,[],"Initial 6 month contract + extensions | Global bank | Must be Sydney based, hybrid working model.",Not Provided,1d ago,https://www.seek.com.au/job/80827032?type=standard&ref=search-standalone
"Consultant, Risk and Controls",MLC Life Insurance,Compliance & Risk,Full time job,Sydney NSW,"['Experience with control testing and design effectiveness', 'Prior understanding in Insurance ops is highly beneficial', 'Line 1 risk role']","Reporting into the Risk and Controls Manager, the Risk and Controls Consultant sits within our Customer Operations business unit.",Not Provided,1d ago,https://www.seek.com.au/job/80826882?type=standout&ref=search-standalone
Functional Systems Administrator (12 Month Fixed Term),Capricorn,Business/Systems Analysts,Full time job,Sydney NSW,"['Make a real difference in the lives of Members and their business.', 'Central workplaces, Sydney or Perth.', 'Ongoing opportunities to learn and grow.']",Join our growing Capricorn community!,Not Provided,1d ago,https://www.seek.com.au/job/80826877?type=standout&ref=search-standalone
Commercial Manager - Fleet & Pre Owned,Polestar Automotive Australia Pty Ltd,Management,Full time job,Artarmon,[],This role looks after the commercial fleet team. Exciting as it is a mix of sales but also internal fleet management.,Not Provided,1d ago,https://www.seek.com.au/job/80826828?type=standout&ref=search-standalone
Senior Business Analyst - Transformation Program,The Aquarium,Business/Systems Analysts,Full time job,Sydney NSW,"['Technology Uplift Program - Major Airline', '6-month initial contract with view to extend long term', '2-3 days on-site + WFH']",Senior Business Analyst - Software Dev. - Major Airline - 6 Mth Contract + Ext - Up to $950 p/d + GST - Interesting Work,Up to $950 p/d + GST - 6 Month Rolling Contract,1d ago,https://www.seek.com.au/job/80826796?type=standout&ref=search-standalone
Sports and Leisure Services Cadet,Sutherland Shire Council,Management,Full time job,Sutherland,"['Gain hands-on experience in sport facility management and community engagement', 'Enhance your skills through diverse departmental projects and tasks']",Are you currently in your penultimate or final year of a Bachelor of Sports Management,Not Provided,1d ago,https://www.seek.com.au/job/80826694?type=standout&ref=search-standalone
Business Continuity Specialist,GOW Recruitment,Compliance & Risk,Contract/Temp job,Sydney NSW,[],"Leading, global business seeking an Business Continuity Specialist to join their team for an initial 12 month contract with potential to extend.",Not Provided,1d ago,https://www.seek.com.au/job/80826692?type=standard&ref=search-standalone
Buyer,Vine Apparel,Buying,Full time job,Cromer,"['Fast-growing dynamic Northern Beaches based e-commerce and retail business', 'Come and make your mark on this exciting opportunity.', 'Be part of our growth journey.']","We are looking for a great human who loves our brand to join our tribe as our Buyer. Work closely with the CEO, founder & leaders in the business.",Not Provided,1d ago,https://www.seek.com.au/job/80826618?type=standout&ref=search-standalone
Procurement and Contracts Cadet,Sutherland Shire Council,Contracts Administration,Contract/Temp job,Sutherland,['Gain hands on experience'],Opportunity for a candidate in their final year or penultimate year of university to gain work experience,Not Provided,1d ago,https://www.seek.com.au/job/80826617?type=standout&ref=search-standalone
Systems Support Analyst (Student Information Systems),UNSW College,Library Services & Information Management,Full time job,Kensington,"['Full time ongoing role', 'Hybrid work environment (work from home and in office)', 'Collaborative and Supportive team environment']","Maintenance of the Student Systems such as Student Management System, Timetabling and Class Allocation Software and LMS,  & their Integrations",Not Provided,1d ago,https://www.seek.com.au/job/80826603?type=standout&ref=search-standalone
Data Analyst,RB Services Australia Pty Ltd,Business/Systems Analysts,Full time job,Bondi Junction,[],"Data Analyst - RB Services Australia Pty Ltd are looking for you
We are a Data and Technology company in Wagering Industry - Sports & Racing","$90,000 – $110,000 per year",1d ago,https://www.seek.com.au/job/80826486?type=standard&ref=search-standalone
"Expression of Interest - Data Entry, Claims Specialists and Customer Service",MAYDAY Recruitment,Claims,Contract/Temp job,Sydney NSW,"['Onsite training and development opportunities', 'Work with Global Brands', 'Possibility of extension or further opportunities']",Temp roles from 1 day to 6 months | WHV welcome | Opportunities across multiple industries,$33 - $40 plus super,1d ago,https://www.seek.com.au/job/80826509?type=standout&ref=search-standalone
Marketing Coordinator,Investorkit pty ltd,Marketing Assistants/Coordinators,Full time job,Sydney NSW,[],"Support impactful marketing campaigns at InvestorKit! Coordinate content, manage social media, and track performance in a collaborative team.","$75,000 per year + bonus",1d ago,https://www.seek.com.au/job/80826314?type=standout&ref=search-standalone
Data Science Hub Statistician,The University of Sydney,Other,Contract/Temp job,Sydney NSW,"['Data Science Hub Statistician', 'University of Sydney', 'Bioinformatics and Data Analytics']","Bioinformatics and Data Analytics at the Charles Perkins Centre to create a broader research program including expertise in multi-omics, Systems Biolo",Not Provided,1d ago,https://www.seek.com.au/job/80826092?type=standout&ref=search-standalone
Client Consulting Analyst (Strategy Consulting),Visa,Analysis & Reporting,Full time job,Sydney NSW,[],"Visa Consulting & Analytics (VCA) is Visa's consulting division, serving Visa's clients (including card issuers, acquirers, and merchants) and solv...",Not Provided,1d ago,https://www.seek.com.au/job/80827681?type=standard&ref=search-standalone
Senior QA Engineer - 12 month Fixed Term Contract,Visa,Testing & Quality Assurance,Full time job,Sydney NSW,[],We are looking for a dedicated QA Engineer to join the client's team for a 12-month fixed-term contract. This role will be embedded with a key stra...,Not Provided,1d ago,https://www.seek.com.au/job/80827839?type=standard&ref=search-standalone
Senior System Administrator,NSW Department of Customer Service,Networks & Systems Administration,Full time job,Sydney NSW,[],"We are looking for an experienced Senior System Administrator to join Cyber Security NSW, the Capability and Development team within the NSW Gov!","$125,693.00- $138,510.00. + Super",1d ago,https://www.seek.com.au/job/80825761?type=standard&ref=search-standalone
Head of Commercial Finance & Analysis | PE Portfolio | $220k,ThompsonCook | We Only Do Accounting,Strategy & Planning,Full time job,Sydney NSW,[],High-growth technology company | Brilliant leadership team | PE Portfolio,Not Provided,1d ago,https://www.seek.com.au/job/80825553?type=standard&ref=search-standalone
Senior Data Scientist,Iris by Argon & Co,Consultants,Full time job,St Leonards,"['Ready to push the boundaries of AI and machine learning innovation?', 'Work with cutting-edge AI technologies, including LLMs and computer vision', 'Enjoy flexible work, a great culture & numerous career development opportunities']","Join a team redefining AI & ML, creating solutions that tackle real-world operational challenges.",Not Provided,1d ago,https://www.seek.com.au/job/80825390?type=standout&ref=search-standalone
"Vice President, Internal Audit",Sumitomo Mitsui Banking Corporation,Audit - Internal,Full time job,Sydney NSW,[],"Due to continuous growth and expansion across the APAC region, we are establishing an internal Audit department in Australia.",Not Provided,1d ago,https://www.seek.com.au/job/80825069?type=standard&ref=search-standalone
Finance Analyst - Treasury Reporting,Ministry of Health,Analysis & Reporting,Full time job,St Leonards,[],Join our Treasury Reporting team at Ministry of Health for an exciting ongoing opportunity and be part of a team shaping health in a million ways!,"$106,025 - $117,363 + Super and AL loading",1d ago,https://www.seek.com.au/job/80825025?type=standard&ref=search-standalone
ECS Account Executive - Public Sector,MuleSoft,New Business Development,Full time job,Sydney NSW,[],The Enterprise Corporate Sales (ECS) Account Executive is responsible for managing a large volume of smaller size opportunities within Enterprise c...,Not Provided,1d ago,https://www.seek.com.au/job/80838545?type=standard&ref=search-standalone
Research Assistant - Bioinformatics,Garvan Institute of Medical Research,Clinical/Medical Research,Full time job,Sydney NSW,[],Role will suit a computational science/bioinformatics graduate with training and experience in advanced computational techniques.,"$90,000 – $100,000 per year",1d ago,https://www.seek.com.au/job/80824916?type=standard&ref=search-standalone
Social Media Manager,S2M,Digital & Search Marketing,Full time job,Bankstown,[],Excited to drive digital innovation in the construction industry?  APPLY TODAY!,Not Provided,1d ago,https://www.seek.com.au/job/80824887?type=standard&ref=search-standalone
Warmline Allocations Coordinator,Roses in the Ocean,Other,Full time job,Sydney NSW,"['Newly created role, Work with a supportive, collaborative team and organisation', 'fulﬁlling role with impact, make a real difference in the lives of people', 'Great benefits including additional wellbeing days & access to Salary Packaging']","Newly created role, bring your exceptional organisational and interpersonal skills! Work with an organisation that is making a real difference!","from $86,268 per annum plus super plus packaging",1d ago,https://www.seek.com.au/job/80824841?type=standout&ref=search-standalone
