Job Title,Company Name,Classification,Job Type,Location,Job Highlights,Job Description,Salary,Posting Date,Reference
R&D Lead,Garvan Institute of Medical Research,Biological & Biomedical Sciences,Full time job,Sydney NSW,[],The R&D Lead is responsible for overseeing and executing research and development initiatives!,"$160,000 – $170,000 per year",6d ago,https://www.seek.com.au/job/80762428?type=standard&ref=search-standalone
24/7 Data Centre Technician,NEXTDC Limited,Technicians,Full time job,Macquarie Park,"['Would you enjoy delivering cabling needs, electrical/data, to customer racks?', 'Does the world of Data Centre’s interest you?', 'Join the worlds fastest growing industry today']","Do you have experience within Trades or a Technical environment? Would you like to explore a career in Data Centre’s? Find out more, talk to us today!",Not Provided,6d ago,https://www.seek.com.au/job/80762042?type=standout&ref=search-standalone
Energy Market Operations Manager,Ausgrid,Power Generation & Distribution,Full time job,Sydney NSW,"['Drive BESS market operations & trading strategies for optimal performance!', 'Permanent Full Time | Competitive package + bonus opportunity', 'Sydney Location | Flexible hybrid work model']","Our vision is simple; for our communities to have the power for a resilient, affordable net zero future!",Not Provided,6d ago,https://www.seek.com.au/job/80761960?type=standout&ref=search-standalone
Data Engineer,Cuscal Limited (SR),Database Development & Administration,Full time job,Sydney NSW,"['Work for a FinTech at the forefront of Payment Innovation!', 'Work-life balance in a hybrid work environment', 'Inclusive culture with open communication, teamwork, and shared commitment']",2x Data Engineer positions available. Looking for a new challenge in an industry that is always in demand and changing. Cuscal is the place for you!,Not Provided,6d ago,https://www.seek.com.au/job/80761464?type=standout&ref=search-standalone
eCommerce Coordinator,Papinelle,Digital & Search Marketing,Full time job,Rosebery,[],Join a dynamic retail brand and drive ecommerce growth. Excellent work-life balance and career development opportunities.,Not Provided,6d ago,https://www.seek.com.au/job/80760461?type=standard&ref=search-standalone
Research Fellow,Macquarie University,Teaching - Tertiary,Full time job,North Ryde,"['Research Fellow A-C Levels, Salary $109,897 - $168,275', 'Contributing to the development of the leaching process by assisting project m', 'North Ryde location; Full time, 3 year fixed term role']","We have an excellent opportunity for two Research Fellows/Senior Research Fellows, to join the research team at the School of Natural Sciences",Not Provided,6d ago,https://www.seek.com.au/job/80760738?type=standout&ref=search-standalone
Oracle APEX Developer,Recruitment Hive,Engineering - Software,Contract/Temp job,Sydney NSW,"['12 Month Contract + 3 X 12 Month Extensions', 'Ability to obtain a Baseline Clearance', 'Hybrid / WFH from any state in Australia']","Hybrid WFH from Perth, Melbourne, Adelaide, Queensland, Sydney or Canberra. Obtain a Baseline Security Clearance.",$115 - $130 p.h. + Transparent Fee Structure,6d ago,https://www.seek.com.au/job/80760661?type=standout&ref=search-standalone
Research Fellow,Macquarie University,Teaching - Tertiary,Full time job,North Ryde,"['Research Fellow A-C Levels, Salary $109,897 - $168,275', 'Contributing to the development of the leaching process by assisting project m', 'North Ryde location; Full time, 3 year fixed term role']","We have an excellent opportunity for two Research Fellows/Senior Research Fellows, to join the research team at the School of Natural Sciences",Not Provided,6d ago,https://www.seek.com.au/job/80760453?type=standout&ref=search-standalone
Demand Planner,Robert Walters,Planning,Full time job,North Sydney,"['12 Month Fixed Term Opportunity', 'WFH Flexibity', 'International Brand Name']","This role is integral to the Supply Chain team, acting as a key business partner to Sales, New Product Development (NPD), and Customer Service.",$110k-$130k base plus super,6d ago,https://www.seek.com.au/job/80760437?type=standout&ref=search-standalone
Business Coach/Mentor -Self Employment Assistance | Liverpool,Sarina Russo Group,Childcare & Outside School Hours Care,Full time job,Liverpool,"['Opportunity to mentor others to achieve in setting up their small business', 'Work for a company celebrating over 45 years in business', 'Five weeks annual leave (qualifying period applies)']",Sarina Russo is looking for energetic & motivated people to coach and mentor our Self Employment Assistance participants | Rewarding role | Full Time,Base salary + super + bonus,6d ago,https://www.seek.com.au/job/80760419?type=standout&ref=search-standalone
Marketing Coordinator,MYBOS,Marketing Assistants/Coordinators,Full time job,Sydney Olympic Park,[],"Exciting marketing role at growing tech leader! Develop campaigns, manage website, and drive leads. Flexible work, training, and social events.","$70,000 – $85,000 per year",6d ago,https://www.seek.com.au/job/80760246?type=standard&ref=search-standalone
Senior BA - Retail Banking,Hydrogen Group Pty Ltd,Business/Systems Analysts,Full time job,Sydney NSW,"['Be a part of a major Core Banking program of work', 'Must have previous experience within Retail Banking', 'Flexible working options available (must be Sydney based)']",Our client is looking for a Senior BA to join their Core Banking team.,$150k - $170k p.a. + super,6d ago,https://www.seek.com.au/job/80759935?type=standout&ref=search-standalone
Test Analyst,Torch Professional Services Pty Ltd,Testing & Quality Assurance,Contract/Temp job,Sydney NSW,"['LONG TERM CONTRACTS', 'On-site work in Canberra / Melbourne / Sydney / Brisbane', 'MUST HAVE BASELINE CLEARANCE']",We are looking Test Analysts with hands-on experience in software testing and superior stakeholder management skills.,Not Provided,6d ago,https://www.seek.com.au/job/80759899?type=standout&ref=search-standalone
People and Culture Business Partner $125K,Montgomery Advisory,Consulting & Generalist HR,Full time job,Sydney NSW,"['National mid-tier firm', '2 days WFH', 'New role to start in the new year']",Be responsible for your own practice areas and build on your experience and knowledge in this supportive law firm!,Not Provided,6d ago,https://www.seek.com.au/job/80759663?type=standout&ref=search-standalone
Senior Strategic Analyst - Global Leading Software Business,Sharp & Carter Finance & Accounting Syd,Analysis & Reporting,Full time job,Sydney NSW,"['$130,000 - $180,000 + Super + Bonus', 'Senior Corporate Finance Analyst within a renowned global software company', 'Fantastic culture with flexible working arrangements | CBD location']",Senior Corporate Finance Analyst - finance modelling - commercial business partnering,Not Provided,6d ago,https://www.seek.com.au/job/80759537?type=standout&ref=search-standalone
Senior BA - Financial Risk,Hydrogen Group Pty Ltd,Business/Systems Analysts,Contract/Temp job,Sydney NSW,"['Be a part of a new Risk program of work', 'Must have strong process mapping and risk background', 'Flexible/remote working options available (must be Sydney based)']","Our client is an insurance organisation, looking for a Senior BA to assist with a major risk project.",$850 - $900 p.d. (including super),6d ago,https://www.seek.com.au/job/80759196?type=standout&ref=search-standalone
